MegaCategory,Category,Subcategory
BEVERAGES,ALCOHOLIC BEVERAGES,BEERS
BEVERAGES,ALCOHOLIC BEVERAGES,CHAMPAGNE
BEVERAGES,ALCOHOLIC BEVERAGES,CIDER
BEVERAGES,ALCOHOLIC BEVERAGES,COCKTAIL MIX
BEVERAGES,ALCOHOLIC BEVERAGES,GIN
BEVERAGES,ALCOHOLIC BEVERAGES,LIQUEUR
BEVERAGES,ALCOHOLIC BEVERAGES,RUM
BEVERAGES,ALCOHOLIC BEVERAGES,TEQUILA
BEVERAGES,ALCOHOLIC BEVERAGES,VERMOUTH
BEVERAGES,ALCOHOLIC BEVERAGES,VODKA
BEVERAGES,ALCOHOLIC BEVERAGES,WHISKY
BEVERAGES,ALCOHOLIC BEVERAGES,WINE
BEVERAGES,ALCOHOLIC BEVERAGES,ΟΥΖΟ
BEVERAGES,ALCOHOLIC BEVERAGES,ΤΣΙΠΟΥΡΟ
BEVERAGES,COFFEE,COFFEE CAPSULES
BEVERAGES,COFFEE,ESPRESSO GROUND
BEVERAGES,COFFEE,FILTER COFFEE
BEVERAGES,COFFEE,GREEK COFFEE
BEVERAGES,COFFEE,INSTANT COFFEE
BEVERAGES,COFFEE,RTD COFFEE
BEVERAGES,MILK,CHOCOLATE MILK
BEVERAGES,MILK,EVAPORATED MILK
BEVERAGES,MILK,FRESH MILK
BEVERAGES,MILK,HIGH PASTEURIZED MILK
BEVERAGES,MILK,PLANT BASED MILK
BEVERAGES,MILK,REST MILK
BEVERAGES,SOFT DRINKS,ALOE VERA
BEVERAGES,SOFT DRINKS,COLAS
BEVERAGES,SOFT DRINKS,ENERGY DRINK
BEVERAGES,SOFT DRINKS,FLAVORED WATER
BEVERAGES,SOFT DRINKS,FLAVORS
BEVERAGES,SOFT DRINKS,FRESH JUICE
BEVERAGES,SOFT DRINKS,ICE CUBES
BEVERAGES,SOFT DRINKS,ICE TEA
BEVERAGES,SOFT DRINKS,LEMON LIMES
BEVERAGES,SOFT DRINKS,LONG LIFE JUICE
BEVERAGES,SOFT DRINKS,NATURAL WATER 
BEVERAGES,SOFT DRINKS,SMOOTHIES
BEVERAGES,SOFT DRINKS,SODA
BEVERAGES,SOFT DRINKS,SPARKLING WATER
CIGARETTES,TOBACCO,CIG
CIGARETTES,TOBACCO,CIGARILLOS
CIGARETTES,TOBACCO,HEATED
CIGARETTES,TOBACCO,RYO
CIGARETTES,TOBACCO,TOBACCO_PIPE
CIGARETTES,TOBACCO,VAPE
CIGARETTES,TOBACCO COMPL,HEATED DEVICES
CIGARETTES,TOBACCO COMPL,TOBACCO ACCESSORIES
CIGARETTES,TOBACCO COMPL,VAPE DEVICES
FOOD,BISCUITS,CHOCO COATED
FOOD,BISCUITS,COOKIES
FOOD,BISCUITS,DIGESTIVE
FOOD,BISCUITS,HOME CONS
FOOD,BISCUITS,OAT BISCUITS
FOOD,BISCUITS,PETIT BEURE
FOOD,BISCUITS,REST CLASSIC
FOOD,BISCUITS,REST NUTRITIOUS
FOOD,BISCUITS,SANDWICH
FOOD,BISCUITS,SAVOURY BISCUITS
FOOD,BISCUITS,SOPHISTICATED
FOOD,CHOCOLATE,COUNTLINES
FOOD,CHOCOLATE,NIBBLES
FOOD,CHOCOLATE,REST CHOCOLATE
FOOD,CHOCOLATE,TABLETS
FOOD,CHOCOLATE,WAFERS
FOOD,DAIRY,BUTTER
FOOD,DAIRY,CHEESE
FOOD,DAIRY,HEAVY CREAM
FOOD,DAIRY,SOUR_CREAM
FOOD,DAIRY,YOGURT
FOOD,GUMS & CANDIES,CANDIES
FOOD,GUMS & CANDIES,CHEWING GUMS
FOOD,GUMS & CANDIES,JELLIES 
FOOD,ICE CREAM,BAR ICE CREAM
FOOD,ICE CREAM,CONE
FOOD,ICE CREAM,CUP
FOOD,ICE CREAM,FAMILY PACK
FOOD,ICE CREAM,OTHER ICE CREAM
FOOD,ICE CREAM,POPSICLE
FOOD,ICE CREAM,SANDWICH ICE CREAM
FOOD,ICE CREAM,STICK
FOOD,PACKAGED FOOD,PACKAGED FOOD
FOOD,PET CARE,PET CARE
FOOD,SNACKS,BAR SNACKS
FOOD,SNACKS,CAKE
FOOD,SNACKS,CHIPS 
FOOD,SNACKS,CORN 
FOOD,SNACKS,CROISSANT
FOOD,SNACKS,DESSERT
FOOD,SNACKS,EXTRUDED 
FOOD,SNACKS,NACHOS 
FOOD,SNACKS,NUTS 
FOOD,SNACKS,OTHER SNACKS
FOOD,SNACKS,REST SALTY SNACKS 
FOOD,SNACKS,REST SWEET SNACKS 
FOOD,SNACKS,ROLLS 
FOOD,SNACKS,SWEET BAKERY SNACKS 
OTHER,HOME & PERSONAL CARE,HOME & PERSONAL CARE
OTHER,PRINT,PRINT
OTHER,TICKETING AND ADMISSION SERVICES,TICKETING AND ADMISSION SERVICES
OTHER,TOYS,TOYS
